Naam,Prijs,Foto,Review,Kleur
Kinderthermoshirt voor skiën BL500 print parcours,"€7,99",https://contents.mediadecathlon.com/p2264918/k$2a75d8349534280e8d44b799aec7a5f9/sq/kinderthermoshirt-voor-skien-bl500-print-parcours.jpg?format=auto&f=800x0,"['Superfijn thermoshirt!', 'Kwaliteit en afwerking prima, maar ventilatienet op rug irriteert hooggevoelige kinderen.\nDe naden zitten langs de schouderbladen.\nAls je kind de labels niet verdraagt, zal dit ook niet als aangenaam ervaren worden.']",lavender
Heat Keeper Thermoset Dames Premium - Thermoshirt + Thermo Legging - Zwart,"€33,95",https://contents.mediadecathlon.com/m9019619/k$7bc8e1ec2b5971958805b67892aad18e/sq/heat-keeper-thermoset-dames-premium-thermoshirt-thermo-legging-zwart.jpg?format=auto&f=800x0,"['dit thermisch ondergoed is geweldig', 'Prima']",darkslategray
Thermoshirt voor skiën dames 500 wit,"€14,99",https://contents.mediadecathlon.com/p1871274/k$21dc0c6b9ab6e8165b81a2e1fe640a07/sq/thermoshirt-voor-skien-dames-500-wit.jpg?format=auto&f=800x0,"['Uitstekend', 'In 2 kleuren verkrijgbaar. Lekker warm en overal onder te dragen.']",NA
FIETSONDERSHIRT ESSENTIAL ZWART,"€9,99",https://contents.mediadecathlon.com/p2186982/k$4704a70918f9484687aeba7bb11087dc/sq/fietsondershirt-essential-zwart.jpg?format=auto&f=800x0,"['Voor die prijs, gewoon goed', 'Zowel in zeer warme en normale omstandigheden dit ondershirt gedragen.\nKan in zeer warme omstandigheden als enige laag gedragen worden']",darkslategray
Thermoshirt voor skiën voor kinderen BL 500 1/2 rits blauw,"€14,99",https://contents.mediadecathlon.com/p2035790/k$dbb01350fd3406c8309cc8560b1c0d1f/sq/thermoshirt-voor-skien-voor-kinderen-bl-500-12-rits-blauw.jpg?format=auto&f=800x0,"['Mooi thermoshirt, ideaal voor op wintersport of buitensporten. Valt goed op maat.', 'Goed']",darkslategray
Hardloopshirt voor heren winter Skincare lange mouwen rood ltd,"€17,99",https://contents.mediadecathlon.com/p2308910/k$afbc4963236005f1b91c8df9ff48682c/sq/hardloopshirt-voor-heren-winter-skincare-lange-mouwen-rood-ltd.jpg?format=auto&f=800x0,"['Ik zocht een fluoriserend geel hemd zoals dit, ofwel als windbrekende overlaag, ofwel als enkele zonwerende laag. In beide gevallen met de kleur als eis voor zichtbaarheid in een roeiboot of op een fiets.\n\nVoor het eerste doel heb ik dit nu een paar keer naar tevredenheid gebruikt. Het tweede zal nog even op zich laten wachten.\n\nDe ingewikkelde zones kunnen zowel een voor- als een nadeel zijn. Bovendien zijn ze kwetsbaarder. Doe mij maar één homogene stof.\n\nDat zou de prijs misschien ook flink kunnen reduceren. Die is opvallende hoog in vergelijking met de dikkere truien die ik onlangs voor 15 euro kocht.\n\nDeel van de prijs zit misschien ook in andere aspekten. Het is rondgebreid zonder zijnaden. Verder zitten er 2 rubberstrookjes onderaan de zijkanten, tegen opschuiven. Al zal dat niet zoveel nut hebben.\n\nOpvallend was dat er maar 1 exemplaar in de hele winkel was, wat ik toevallig tegenkwam. Het 2e exemplaar moest ik laten nabezorgen.', 'Erg goed shirt. Fijn als onderlaag bij erg koud weer. Ook fijn in de lente als enige laag. Ik heb lange armen maar dit is ook voor mij een prima shirt. De arm waar ik mijn horloge draag en mijn prestaties bijhoud zit iets opgestroopt en dat zit ook goed. Alles top dus!']",whitesmoke
Wielren thermoshirt heren Roadr 920 Extreme met lange mouwen zwart,"€38,99",https://contents.mediadecathlon.com/p1515063/k$54cedc425cceade23aacc5eb14e2b197/sq/wielren-thermoshirt-heren-roadr-920-extreme-met-lange-mouwen-zwart.jpg?format=auto&f=800x0,"['love to wear this stuff', 'Vandaag gaan fietsen met temperatuur rond het vriespunt, geen enkel moment kou gehad. Zeker een aanrader.']",NA
Thermoshirt voor skiën dames BL980 superademend blauw,"€49,99",https://contents.mediadecathlon.com/p2295432/k$00518a7c7441d40ba4cf2d511b6d965e/sq/thermoshirt-voor-skien-dames-bl980-superademend-blauw.jpg?format=auto&f=800x0,"['Super produit, très agréable à porter.', 'Très agréable à porter!']",lightblue
Thermoshirt kind lange mouwen Keepcomfort grijs,"€9,99",https://contents.mediadecathlon.com/p1681914/k$4bba22016fc47abe59a8b5ce9e0a5d47/sq/thermoshirt-kind-lange-mouwen-keepcomfort-grijs.jpg?format=auto&f=800x0,"['Mouwen in verhouding te smal. Knelt daardoor', 'Niet te klein bestellen\nMaar heel mooi product zéker voor de prijs']",darkslategray
Mesh fietsondershirt voor dames warm weer wit,"€14,99",https://contents.mediadecathlon.com/p2465009/k$2f99b6e2e53ecec87927e083b38f4c7c/sq/mesh-fietsondershirt-voor-dames-warm-weer-wit.jpg?format=auto&f=800x0,[],gainsboro
Rashguard MMA / Grappling 500,"€29,99",https://contents.mediadecathlon.com/p2190279/k$331b9832f59ff1bfee36a3487354c7e2/sq/rashguard-mma-grappling-500.jpg?format=auto&f=800x0,"['Past goed', ""Ik heb de rashguard een aantal weken in gebruik en tot nu toe houdt hij het goed uit. Komt netjes door een training heen en in de was krimpt hij niet. De stof voelt prettig aan, echt als een tweede huid.\n\nWel vind ik het jammer dat de decathlon geen rashguards voor dames heeft. Deze versie kruipt een beetje( paar cm) omhoog ( net als alle andere ''mannen'' rashguards die ik heb).\nNaast het omhoog kruipen vind ik het een prima rashguard voor zijn prijs!""]",whitesmoke
Heatkeeper thermo heren antraciet broek/shirt set,"€26,95",https://contents.mediadecathlon.com/m7807879/k$6b6087ee8fd913f7f39cd0a42004cf30/sq/heatkeeper-thermo-heren-antraciet-broekshirt-set.jpg?format=auto&f=800x0,['Uitstekende kwaliteit voor een redelijke prijs'],darkslategray
Heat Keeper Thermoshirt Lange Mouw Dames Premium Zwart Melange,"€19,95",https://contents.mediadecathlon.com/m4498359/k$8a20b2cfcc5a009eebb94d8bb20b769c/sq/heat-keeper-thermoshirt-lange-mouw-dames-premium-zwart-melange.jpg?format=auto&f=800x0,[],darkslategray
Ademend shirt voor atletiek kinderen Skincare lange mouwen marineblauw,"€14,99",https://contents.mediadecathlon.com/p2309401/k$b3fca5c65f31d5b573e2be29d7dfe3f5/sq/ademend-shirt-voor-atletiek-kinderen-skincare-lange-mouwen-marineblauw.jpg?format=auto&f=800x0,"['Warm loopshirt, zit comfortabel, handig met uitsparing voor de duimen.', 'I like this top and so does my kid.']",lavender
